hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,arrival_date,total_stay_nights,total_guests,total_previous_bookings,estimated_revenue,arrival_month_num,arrival_day,arrival_weekday
Resort Hotel,0,79,2015,December,52,24,2,5,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,156.0,0.0,0,Transient,57.29,0,2,Check-Out,31-12-2015,2015-12-24,7,2,0,401.03,12,24,3
City Hotel,0,41,2016,August,34,15,1,2,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,28.0,0.0,0,Transient,76.5,0,0,Check-Out,18-08-2016,2016-08-15,3,2,0,229.5,8,15,0
City Hotel,1,239,2015,October,42,17,0,1,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,0.0,0,Transient,60.0,0,0,Canceled,17-08-2015,2015-10-17,1,2,1,60.0,10,17,5
Resort Hotel,0,23,2017,April,16,20,0,2,2,0,0,BB,GBR,Groups,Direct,0,0,0,A,A,0,No Deposit,0.0,0.0,0,Transient-Party,99.0,1,0,Check-Out,22-04-2017,2017-04-20,2,2,0,198.0,4,20,3
Resort Hotel,0,34,2016,December,50,9,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,0.0,0,Transient,48.0,0,1,Check-Out,10-12-2016,2016-12-09,1,2,0,48.0,12,9,4
City Hotel,1,38,2016,May,19,6,2,3,2,1,0,HB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0.0,0,Transient,149.68,0,0,Canceled,01-05-2016,2016-05-06,5,3,0,748.4000000000001,5,6,4
City Hotel,0,160,2017,July,28,15,2,5,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,0.0,0,Transient,78.35,0,1,Check-Out,22-07-2017,2017-07-15,7,2,0,548.4499999999999,7,15,5
Resort Hotel,0,32,2016,October,44,27,2,5,2,0,0,BB,FRA,Direct,Direct,0,0,0,F,F,0,No Deposit,250.0,0.0,0,Transient,91.85,1,0,Check-Out,03-11-2016,2016-10-27,7,2,0,642.9499999999999,10,27,3
Resort Hotel,0,56,2016,March,14,29,0,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0.0,0,Transient,58.0,1,1,Check-Out,02-04-2016,2016-03-29,4,2,0,232.0,3,29,1
City Hotel,1,97,2015,October,41,5,1,3,1,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,29.0,0.0,0,Transient,140.0,0,0,Canceled,03-07-2015,2015-10-05,4,1,0,560.0,10,5,0
Resort Hotel,0,85,2017,April,16,19,1,4,2,0,0,BB,USA,Direct,Direct,0,0,0,E,E,2,No Deposit,0.0,0.0,0,Transient-Party,74.6,0,1,Check-Out,24-04-2017,2017-04-19,5,2,0,373.0,4,19,2
City Hotel,0,278,2017,July,30,26,0,4,3,0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,0.0,0,Transient,165.6,0,2,Check-Out,30-07-2017,2017-07-26,4,3,0,662.4,7,26,2
City Hotel,1,175,2016,August,33,10,0,4,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0.0,0,Transient,99.45,0,0,Canceled,01-03-2016,2016-08-10,4,2,0,397.8,8,10,2
City Hotel,1,26,2017,May,21,22,1,1,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,3.0,0.0,0,Transient,128.0,0,0,Canceled,26-04-2017,2017-05-22,2,2,0,256.0,5,22,0
City Hotel,1,360,2015,October,42,12,1,1,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,0.0,0,Contract,62.0,0,0,Canceled,01-01-2015,2015-10-12,2,2,1,124.0,10,12,0
Resort Hotel,1,378,2016,November,45,1,0,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,248.0,0.0,0,Transient,46.0,0,0,Canceled,18-10-2016,2016-11-01,2,2,0,92.0,11,1,1
City Hotel,0,32,2016,January,5,24,2,1,2,0,0,BB,ARG,Corporate,Corporate,0,0,0,A,A,1,No Deposit,38.0,0.0,15,Transient-Party,64.0,0,0,Check-Out,27-01-2016,2016-01-24,3,2,0,192.0,1,24,6
Resort Hotel,0,165,2015,December,53,30,0,4,1,0,0,Undefined,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,308.0,0.0,122,Transient-Party,0.0,0,0,Check-Out,03-01-2016,2015-12-30,4,1,0,0.0,12,30,2
City Hotel,0,4,2015,August,35,25,0,4,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,0.0,0,Transient-Party,62.0,0,0,Check-Out,29-08-2015,2015-08-25,4,2,0,248.0,8,25,1
City Hotel,1,179,2016,July,27,1,0,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,0.0,0,Transient,65.0,0,0,Canceled,10-05-2016,2016-07-01,2,2,0,130.0,7,1,4
City Hotel,0,349,2016,October,41,4,1,5,2,0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,58.0,0.0,162,Transient-Party,123.33,0,0,Check-Out,10-10-2016,2016-10-04,6,2,0,739.98,10,4,1
City Hotel,0,47,2016,February,8,18,0,3,2,0,0,BB,NLD,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,0.0,0,Transient,90.3,0,0,Check-Out,21-02-2016,2016-02-18,3,2,0,270.9,2,18,3
City Hotel,0,237,2015,September,38,14,1,2,1,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0.0,0,Transient-Party,80.75,0,0,Check-Out,17-09-2015,2015-09-14,3,1,0,242.25,9,14,0
City Hotel,0,31,2016,September,40,27,0,1,2,0,0,BB,UGA,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9.0,0.0,0,Transient,126.0,0,0,Check-Out,28-09-2016,2016-09-27,1,2,0,126.0,9,27,1
City Hotel,0,158,2016,July,27,1,1,2,2,2,0,BB,BEL,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,0.0,0,Transient,168.3,0,1,Check-Out,04-07-2016,2016-07-01,3,4,0,504.90000000000003,7,1,4
City Hotel,0,25,2016,December,51,13,0,4,1,0,0,BB,EST,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8.0,0.0,0,Transient,79.9,0,1,Check-Out,17-12-2016,2016-12-13,4,1,0,319.6,12,13,1
City Hotel,0,386,2016,October,44,23,2,0,2,0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,0.0,0,Transient-Party,115.0,0,1,Check-Out,25-10-2016,2016-10-23,2,2,0,230.0,10,23,6
Resort Hotel,0,10,2016,September,38,13,0,2,2,0,0,BB,TUR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0.0,0,Transient,109.0,0,0,Check-Out,15-09-2016,2016-09-13,2,2,0,218.0,9,13,1
City Hotel,0,76,2016,March,13,20,2,3,2,0,0,BB,AUT,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,9.0,0.0,0,Transient,110.15,0,1,Check-Out,25-03-2016,2016-03-20,5,2,0,550.75,3,20,6
City Hotel,0,42,2017,April,16,21,1,2,2,0,0,BB,BRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,0.0,0,Transient,156.67,0,2,Check-Out,24-04-2017,2017-04-21,3,2,0,470.01,4,21,4
Resort Hotel,1,210,2016,August,35,22,3,8,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,0.0,0,Transient,192.73,0,2,Canceled,15-02-2016,2016-08-22,11,2,0,2120.0299999999997,8,22,0
City Hotel,0,4,2016,June,27,26,2,0,1,0,0,SC,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0.0,0,Transient,113.0,0,1,Check-Out,28-06-2016,2016-06-26,2,1,0,226.0,6,26,6
City Hotel,0,33,2016,May,23,29,2,1,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,42.0,0.0,0,Transient,85.5,0,0,Check-Out,01-06-2016,2016-05-29,3,2,0,256.5,5,29,6
City Hotel,0,7,2016,December,51,17,1,1,2,0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0.0,0,Transient,78.0,0,1,Check-Out,19-12-2016,2016-12-17,2,2,0,156.0,12,17,5
City Hotel,0,21,2015,December,51,17,0,2,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,0.0,40.0,0,Transient-Party,65.0,0,0,Check-Out,19-12-2015,2015-12-17,2,1,0,130.0,12,17,3
City Hotel,1,160,2015,December,53,30,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3.0,0.0,111,Transient-Party,70.0,0,0,Canceled,23-12-2015,2015-12-30,3,2,0,210.0,12,30,2
Resort Hotel,0,28,2016,May,21,19,2,5,3,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,8.0,0.0,0,Transient,79.9,0,2,Check-Out,26-05-2016,2016-05-19,7,3,0,559.3000000000001,5,19,3
City Hotel,1,274,2015,July,29,18,2,2,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,1.0,0.0,0,Transient-Party,62.0,0,0,Canceled,06-07-2015,2015-07-18,4,2,1,248.0,7,18,5
City Hotel,1,155,2017,July,29,17,1,1,2,0,0,SC,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0.0,0,Transient,89.1,0,1,Canceled,08-03-2017,2017-07-17,2,2,0,178.2,7,17,0
Resort Hotel,1,48,2016,September,40,30,2,3,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,0.0,0,Transient,107.0,0,0,Canceled,14-08-2016,2016-09-30,5,2,0,535.0,9,30,4
Resort Hotel,0,25,2016,January,3,14,0,2,2,2,0,BB,ESP,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,0.0,0,Transient,79.0,0,1,Check-Out,16-01-2016,2016-01-14,2,4,0,158.0,1,14,3
Resort Hotel,0,154,2016,July,29,11,1,2,2,0,0,BB,LUX,Offline TA/TO,TA/TO,0,0,0,A,B,0,No Deposit,327.0,0.0,0,Transient,64.8,0,0,Check-Out,14-07-2016,2016-07-11,3,2,0,194.39999999999998,7,11,0
City Hotel,1,1,2015,December,53,29,0,4,2,0,1,BB,PRT,Groups,TA/TO,0,0,0,B,B,2,No Deposit,29.0,0.0,0,Transient,72.5,0,2,Canceled,29-12-2015,2015-12-29,4,3,0,290.0,12,29,1
City Hotel,1,364,2015,October,42,16,0,2,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,6.0,0.0,0,Transient-Party,101.5,0,0,Canceled,06-07-2015,2015-10-16,2,2,1,203.0,10,16,4
City Hotel,0,18,2016,December,51,11,1,0,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,378.0,0.0,0,Transient-Party,80.0,0,0,Check-Out,12-12-2016,2016-12-11,1,2,0,80.0,12,11,6
City Hotel,1,21,2017,January,1,2,1,3,2,0,0,BB,KOR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0.0,0,Transient,90.1,0,2,Canceled,16-12-2016,2017-01-02,4,2,0,360.4,1,2,0
City Hotel,1,15,2017,February,7,17,0,2,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,19.0,0.0,0,Transient,95.0,0,0,Canceled,02-02-2017,2017-02-17,2,2,0,190.0,2,17,4
City Hotel,0,22,2017,March,11,16,2,5,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,85.0,0.0,0,Transient,68.0,0,1,Check-Out,23-03-2017,2017-03-16,7,2,0,476.0,3,16,3
Resort Hotel,1,80,2017,August,34,26,2,2,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40.0,0.0,0,Contract,135.0,0,1,Canceled,15-07-2017,2017-08-26,4,2,0,540.0,8,26,5
City Hotel,1,25,2015,December,50,8,0,2,1,0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,19.0,0.0,0,Transient,90.0,0,0,Canceled,17-11-2015,2015-12-08,2,1,1,180.0,12,8,1
Resort Hotel,0,164,2015,November,46,9,2,5,2,0,0,HB,FRA,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,0.0,0,Transient,61.2,1,0,Check-Out,16-11-2015,2015-11-09,7,2,0,428.40000000000003,11,9,0
City Hotel,0,69,2016,May,20,14,2,1,3,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9.0,0.0,0,Transient,159.3,0,1,Check-Out,17-05-2016,2016-05-14,3,3,0,477.90000000000003,5,14,5
Resort Hotel,0,3,2016,May,21,20,0,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,F,0,No Deposit,240.0,0.0,0,Transient,89.0,0,0,Check-Out,22-05-2016,2016-05-20,2,2,0,178.0,5,20,4
Resort Hotel,1,206,2016,March,13,21,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0.0,0,Transient,42.69,0,1,Canceled,31-08-2015,2016-03-21,7,2,0,298.83,3,21,0
City Hotel,1,157,2017,May,18,1,1,3,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,3.0,0.0,0,Transient,130.0,0,0,Canceled,25-11-2016,2017-05-01,4,2,0,520.0,5,1,0
City Hotel,0,30,2016,May,21,21,2,2,2,1,0,BB,BRA,Online TA,TA/TO,0,0,0,A,B,0,No Deposit,9.0,0.0,0,Transient,133.58,0,0,Check-Out,25-05-2016,2016-05-21,4,3,0,534.32,5,21,5
City Hotel,0,1,2017,May,19,9,0,1,1,0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,10.0,0.0,0,Transient,95.0,0,0,Check-Out,10-05-2017,2017-05-09,1,1,0,95.0,5,9,1
Resort Hotel,0,32,2016,April,17,19,2,5,2,0,0,HB,GBR,Groups,Direct,0,0,0,D,D,0,No Deposit,273.0,0.0,0,Transient-Party,38.22,0,0,Check-Out,26-04-2016,2016-04-19,7,2,0,267.53999999999996,4,19,1
Resort Hotel,0,53,2016,June,24,7,0,2,2,0,0,BB,CHN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0.0,0,Transient,129.0,0,1,Check-Out,09-06-2016,2016-06-07,2,2,0,258.0,6,7,1
Resort Hotel,1,246,2015,September,36,5,2,5,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,No Deposit,96.0,0.0,0,Transient-Party,58.95,0,0,Canceled,17-06-2015,2015-09-05,7,2,1,412.65000000000003,9,5,5
City Hotel,1,304,2016,November,45,3,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,21.0,0.0,0,Transient,89.0,0,0,Canceled,01-02-2016,2016-11-03,3,2,0,267.0,11,3,3
City Hotel,0,127,2017,July,30,25,0,3,2,0,0,BB,AUT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,16.0,0.0,0,Transient,98.1,0,0,Check-Out,28-07-2017,2017-07-25,3,2,0,294.29999999999995,7,25,1
Resort Hotel,0,0,2017,January,3,17,0,1,1,0,0,BB,ESP,Direct,Direct,1,0,1,A,A,0,No Deposit,0.0,0.0,0,Transient,57.0,0,0,Check-Out,18-01-2017,2017-01-17,1,1,1,57.0,1,17,1
City Hotel,1,113,2016,September,37,7,1,4,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,0.0,0,Transient,118.8,0,0,Canceled,23-05-2016,2016-09-07,5,2,0,594.0,9,7,2
City Hotel,0,272,2017,July,28,12,0,3,2,2,0,BB,AUT,Online TA,TA/TO,0,0,0,F,F,3,No Deposit,9.0,0.0,0,Transient-Party,179.1,0,2,Check-Out,15-07-2017,2017-07-12,3,4,0,537.3,7,12,2
City Hotel,1,11,2016,November,45,5,0,1,2,1,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0.0,0,Transient,150.0,0,1,Canceled,28-10-2016,2016-11-05,1,3,0,150.0,11,5,5
City Hotel,1,98,2015,November,48,23,1,2,1,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,37.0,0.0,0,Transient-Party,70.0,0,0,No-Show,23-11-2015,2015-11-23,3,1,0,210.0,11,23,0
City Hotel,1,292,2015,August,32,5,0,2,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,0.0,0,Transient-Party,62.0,0,0,Canceled,02-07-2015,2015-08-05,2,2,1,124.0,8,5,2
City Hotel,0,16,2016,December,50,4,2,0,2,1,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0.0,0,Transient,118.8,0,1,Check-Out,06-12-2016,2016-12-04,2,3,0,237.6,12,4,6
City Hotel,0,70,2016,April,17,22,2,2,2,0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0.0,0,Transient,97.33,0,0,Check-Out,26-04-2016,2016-04-22,4,2,0,389.32,4,22,4
Resort Hotel,1,49,2015,July,30,20,3,6,2,0,0,FB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,15.0,0.0,0,Transient,111.2,0,0,Canceled,01-06-2015,2015-07-20,9,2,0,1000.8000000000001,7,20,0
City Hotel,1,379,2015,October,44,31,1,1,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,0.0,0,Transient,62.0,0,0,Canceled,23-07-2015,2015-10-31,2,2,1,124.0,10,31,5
Resort Hotel,1,289,2017,July,30,25,0,4,2,1,0,BB,AUS,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,0.0,0,Transient,172.8,0,0,Canceled,19-04-2017,2017-07-25,4,3,0,691.2,7,25,1
Resort Hotel,1,108,2016,April,18,29,2,2,2,0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0.0,0.0,0,Transient,84.0,0,0,Canceled,12-02-2016,2016-04-29,4,2,0,336.0,4,29,4
Resort Hotel,0,128,2016,December,50,8,0,3,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241.0,0.0,0,Transient,36.04,0,2,Check-Out,11-12-2016,2016-12-08,3,2,0,108.12,12,8,3
Resort Hotel,0,18,2016,April,15,9,2,3,1,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40.0,0.0,0,Contract,33.3,0,0,Check-Out,14-04-2016,2016-04-09,5,1,0,166.5,4,9,5
Resort Hotel,1,46,2017,August,32,12,2,5,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,261.0,0.0,0,Transient,212.0,0,0,Canceled,12-07-2017,2017-08-12,7,2,0,1484.0,8,12,5
City Hotel,0,4,2015,August,33,11,0,5,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0.0,0,Contract,90.0,0,2,Check-Out,16-08-2015,2015-08-11,5,2,0,450.0,8,11,1
City Hotel,1,332,2017,April,16,22,1,1,2,1,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0.0,0,Transient,125.1,0,0,Canceled,07-06-2016,2017-04-22,2,3,0,250.2,4,22,5
City Hotel,0,28,2017,February,7,13,1,2,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28.0,0.0,0,Transient,75.0,0,0,Check-Out,16-02-2017,2017-02-13,3,2,0,225.0,2,13,0
Resort Hotel,0,1,2015,October,42,13,0,1,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,240.0,0.0,0,Transient,66.0,0,1,Check-Out,14-10-2015,2015-10-13,1,2,0,66.0,10,13,1
City Hotel,0,53,2015,October,41,9,1,2,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0.0,0,Contract,94.5,0,0,Check-Out,12-10-2015,2015-10-09,3,2,0,283.5,10,9,4
Resort Hotel,1,260,2015,December,52,20,4,9,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,0.0,0,Transient,47.54,0,1,Canceled,24-08-2015,2015-12-20,13,1,0,618.02,12,20,6
Resort Hotel,0,166,2016,August,35,27,2,2,1,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,171.0,0.0,0,Transient-Party,100.8,0,0,Check-Out,31-08-2016,2016-08-27,4,1,0,403.2,8,27,5
City Hotel,0,76,2017,July,29,16,2,3,2,0,0,BB,DEU,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,0.0,0,Transient,108.0,0,0,Check-Out,21-07-2017,2017-07-16,5,2,0,540.0,7,16,6
City Hotel,0,1,2015,August,33,9,1,0,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,0.0,0,Transient,153.0,0,2,Check-Out,10-08-2015,2015-08-09,1,4,0,153.0,8,9,6
City Hotel,0,172,2017,April,15,13,0,3,2,1,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0.0,0,Transient,153.0,0,2,Check-Out,16-04-2017,2017-04-13,3,3,0,459.0,4,13,3
City Hotel,0,2,2016,March,13,20,2,4,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,220.0,0.0,0,Transient-Party,85.0,0,0,Check-Out,26-03-2016,2016-03-20,6,2,0,510.0,3,20,6
Resort Hotel,0,4,2017,June,23,6,0,3,1,0,0,BB,PRT,Offline TA/TO,TA/TO,1,0,3,A,A,0,No Deposit,146.0,0.0,0,Transient,108.0,0,2,Check-Out,09-06-2017,2017-06-06,3,1,3,324.0,6,6,1
City Hotel,0,175,2017,August,35,31,1,3,2,0,0,BB,NLD,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,42.0,0.0,0,Transient,86.85,0,2,Check-Out,04-09-2017,2017-08-31,4,2,0,347.4,8,31,3
Resort Hotel,0,2,2015,October,41,9,0,1,1,0,0,BB,PRT,Groups,Corporate,0,0,1,A,D,0,No Deposit,0.0,86.0,0,Transient,48.0,0,0,Check-Out,10-10-2015,2015-10-09,1,1,1,48.0,10,9,4
Resort Hotel,0,8,2015,July,28,7,0,4,3,2,0,BB,ESP,Online TA,TA/TO,0,0,0,H,H,2,No Deposit,240.0,0.0,0,Transient,193.0,0,1,Check-Out,11-07-2015,2015-07-07,4,5,0,772.0,7,7,1
Resort Hotel,1,468,2016,May,20,12,0,2,2,0,0,HB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,249.0,0.0,0,Transient-Party,67.0,0,0,Canceled,30-07-2015,2016-05-12,2,2,1,134.0,5,12,3
Resort Hotel,0,36,2016,June,24,9,0,3,2,1,0,BB,ESP,Online TA,TA/TO,0,0,0,F,G,0,No Deposit,241.0,0.0,0,Transient,153.03,1,1,Check-Out,12-06-2016,2016-06-09,3,3,0,459.09000000000003,6,9,3
City Hotel,1,262,2015,November,46,9,1,2,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,0.0,0,Transient,62.8,0,0,Canceled,04-09-2015,2015-11-09,3,2,1,188.39999999999998,11,9,0
